window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_step_p999_px,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff
9,precision,9.690509989572861,64.30890536861493,65.30882379481324,baseline,m4_dpf_physics.npz,4.10431048274501,2.3665202555780134,0.11754477482177013,74.26171911322768,0.39959159733272015,,,,,,,
9,precision,9.690509989572861,64.30890536861493,65.30882379481324,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.180281845776115,1.534969602476206,0.07813903359080294,79.9135116560433,0.39617996642904557,5.264362946340888,6.523536111972447,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0
9,precision,9.690509989572861,64.30890536861493,65.30882379481324,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,4.780810798514201,1.7556694849830574,0.12250763427339681,83.74548969792163,0.39617996642904557,0.0,0.0,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0
9,precision,9.690509989572861,64.30890536861493,65.30882379481324,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,4.165098886459297,1.8587807310966795,0.07526296699310846,56.833185601899764,0.4004751440568774,4.909841011670446,7.528856749181891,1.3301124385101897,0.4732464700937271,19.420586585998535,0.0,2.0
9,precision,9.690509989572861,64.30890536861493,65.30882379481324,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,5.11818835469286,1.541580877050679,0.08011496317585773,78.7126648463404,0.39617996642904557,5.425711068342545,6.354551605712743,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0
10,precision,8.045750271588869,54.8083795905717,55.80829801677003,baseline,m4_dpf_physics.npz,2.1743569595190597,1.0452089404380978,0.13455024463680842,74.42318646628235,0.38501712140887956,,,,,,,
10,precision,8.045750271588869,54.8083795905717,55.80829801677003,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.6001984174766792,0.5543724111237474,0.09026036644165863,82.82168219754863,0.38276067593247465,5.8434499984943145,7.251142870553602,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0
10,precision,8.045750271588869,54.8083795905717,55.80829801677003,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.92007371349041,0.4592979074046948,0.13461909353905496,88.39504521376173,0.38276067593247465,0.0,0.0,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0
10,precision,8.045750271588869,54.8083795905717,55.80829801677003,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,1.8577055142571683,1.2633607355658256,0.08628448444531403,83.16944342200878,0.384938575216323,5.3527028542593875,7.790517170924104,1.346270352139341,0.4613661766052246,17.956686973571777,0.0,2.0
10,precision,8.045750271588869,54.8083795905717,55.80829801677003,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.508935125309974,0.5724002291702988,0.09083895853423336,85.10767535622493,0.38276067593247465,5.728543639579587,7.308942581007296,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0
11,precision,5.881416178043839,64.05889153235063,65.05880995854896,baseline,m4_dpf_physics.npz,3.431444539376228,2.0877698024356697,0.10840021401819154,73.9776907819993,0.40167633862952606,,,,,,,
11,precision,5.881416178043839,64.05889153235063,65.05880995854896,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,4.2209503979742715,1.5906746179995315,0.07134233344309077,73.48421816864345,0.3971155923162481,4.6052938170701285,5.718437921889294,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0
11,precision,5.881416178043839,64.05889153235063,65.05880995854896,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,3.928071972228455,1.9498839274657582,0.11184282735155307,80.74435732662099,0.3971155923162481,0.0,0.0,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0
11,precision,5.881416178043839,64.05889153235063,65.05880995854896,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,3.6539499155645845,2.4230448347747835,0.07122349823321555,57.181734891960346,0.3983071987563699,4.825190615254412,6.465182286658958,1.3116981132075471,0.5051366686820984,20.378421783447266,0.0,2.0
